"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"6727","MFNG","NOTCH2",82.6451612903226,3,60.5952380952381,7,"other"
"2149","DUSP18","ITGB1",29.577380952381,8,169.295698924731,3,"other"
"1636","CALM3","SELL",37.9270833333333,2,132.010471204188,4,"other"
"1872","COL6A3","ITGB1",17.8333333333333,8,280.690476190476,8,"other"
"6640","MFNG","NOTCH1",114.6125,6,43.66875,6,"other"
"7285","PSEN1","NOTCH2",82.2976190476191,7,60.5952380952381,7,"other"
"8090","TNF","TNFRSF1A",57.4450261780105,4,86.7443946188341,5,"other"
"1828","COL6A3","ITGA1",17.8333333333333,8,278.79057591623,4,"other"
"3471","GSTP1","TRAF2",73.46875,2,67.6369047619048,7,"other"
"7168","PSEN1","NCSTN",73.40625,6,67.6282722513089,4,"other"
"2147","DUSP18","ITGB1",29.577380952381,8,167.807174887892,5,"other"
"3118","GNAI2","S1PR4",106.64880952381,7,46.4761904761905,8,"other"
"3121","GNAI2","S1PR4",106.64880952381,7,46.47533632287,5,"other"
"7671","SPON2","ITGB2",12.7634408602151,3,388.333333333333,2,"other"
"7652","SPON2","ITGB2",8.14349775784753,5,607.843049327354,5,"other"
"6562","LTB","TNFRSF1A",117.602094240838,4,42.0698924731183,3,"other"
"7163","PSEN1","NCSTN",82.2976190476191,7,60.0977653631285,1,"other"
"7814","TIMP1","CD63",21.7135416666667,2,227.774193548387,3,"other"
"6646","MFNG","NOTCH1",126.515695067265,5,39.0773809523809,8,"other"
"1734","CALR","ITGAV",281.408071748879,5,17.5625,6,"other"
"6822","NUCB2","ERAP1",70.5558659217877,1,70.015625,2,"other"
"2528","FASLG","TNFRSF1A",195.586021505376,3,25.2513966480447,1,"other"
"5787","ICAM2","ITGAL",23.875,6,206.822580645161,3,"other"
"226","ADAM17","ITGB1",35.020942408377,4,140.963541666667,2,"other"
"7930","TNFSF10","TNFRSF10B",114.175,6,43.2261904761905,7,"other"
"8233","TNF","TRAF2",90.9114583333333,2,54.21875,6,"other"
"7574","SEMA4D","CD72",217.386904761905,8,22.66875,6,"other"
"7701","THBS1","CD47",13.828125,2,356,8,"other"
"3429","GSTP1","TRAF2",247.696428571429,8,19.8715083798883,1,"other"
