"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"119","PDGFD","PDGFRA",29.4583333333333,7,58.0104712041885,4,"growth factor"
"121","PDGFD","PDGFRA",29.4583333333333,7,54.7239583333333,2,"growth factor"
"108","PDGFD","PDGFRA",20.8928571428571,8,75.5059523809524,7,"growth factor"
"340","TGFB1","TGFBR2",18.4301675977654,1,77.5913978494624,3,"growth factor"
"78","HBEGF","CD82",5.51396648044693,1,251.069892473118,3,"growth factor"
"72","HBEGF","CD82",9.13125,6,148.458100558659,1,"growth factor"
"342","TGFB1","TGFBR2",18.4301675977654,1,71.8268156424581,1,"growth factor"
"79","HBEGF","CD82",5.51396648044693,1,233.786458333333,2,"growth factor"
"110","PDGFD","PDGFRA",20.8928571428571,8,61.2735426008969,5,"growth factor"
"320","TGFB1","TGFBR2",9.33870967741935,3,130.571428571429,7,"growth factor"
"111","PDGFD","PDGFRA",20.8928571428571,8,58.0104712041885,4,"growth factor"
"120","PDGFD","PDGFRA",29.4583333333333,7,40.7634408602151,3,"growth factor"
"113","PDGFD","PDGFRA",20.8928571428571,8,54.7239583333333,2,"growth factor"
"81","HBEGF","CD9",9.13125,6,116.744047619048,8,"growth factor"
"341","TGFB1","TGFBR2",18.4301675977654,1,55.3541666666667,2,"growth factor"
"319","TGFB1","TGFBR2",9.33870967741935,3,108.529761904762,8,"growth factor"
"123","PDGFD","PDGFRA",11.1,6,91.125,8,"growth factor"
"321","TGFB1","TGFBR2",9.33870967741935,3,108.26875,6,"growth factor"
"125","PDGFD","PDGFRA",11.1,6,90.41875,6,"growth factor"
"122","PDGFD","PDGFRA",29.4583333333333,7,32.5335195530726,1,"growth factor"
"322","TGFB1","TGFBR2",9.33870967741935,3,100.304932735426,5,"growth factor"
"323","TGFB1","TGFBR2",9.33870967741935,3,100.031413612565,4,"growth factor"
"374","TGFB1","TGFBR3",18.4301675977654,1,50.0391061452514,1,"growth factor"
"147","PDGFD","PDGFRA",9.93296089385475,1,91.125,8,"growth factor"
"149","PDGFD","PDGFRA",9.93296089385475,1,90.41875,6,"growth factor"
"312","TGFB1","TGFBR2",6.63874345549738,4,130.571428571429,7,"growth factor"
"304","TGFB1","TGFBR1",18.4301675977654,1,46.5178571428571,7,"growth factor"
"112","PDGFD","PDGFRA",20.8928571428571,8,40.7634408602151,3,"growth factor"
"124","PDGFD","PDGFRA",11.1,6,75.5059523809524,7,"growth factor"
"80","HBEGF","CD82",5.51396648044693,1,148.458100558659,1,"growth factor"
"328","TGFB1","TGFBR2",6.09375,2,130.571428571429,7,"growth factor"
"372","TGFB1","TGFBR3",18.4301675977654,1,42.2956989247312,3,"growth factor"
"131","PDGFD","PDGFRA",8.53363228699552,5,91.125,8,"growth factor"
"306","TGFB1","TGFBR1",18.4301675977654,1,42.1883408071749,5,"growth factor"
"133","PDGFD","PDGFRA",8.53363228699552,5,90.41875,6,"growth factor"
"148","PDGFD","PDGFRA",9.93296089385475,1,75.5059523809524,7,"growth factor"
"324","TGFB1","TGFBR2",9.33870967741935,3,77.5913978494624,3,"growth factor"
"311","TGFB1","TGFBR2",6.63874345549738,4,108.529761904762,8,"growth factor"
"313","TGFB1","TGFBR2",6.63874345549738,4,108.26875,6,"growth factor"
"371","TGFB1","TGFBR3",18.4301675977654,1,37.3455497382199,4,"growth factor"
"126","PDGFD","PDGFRA",11.1,6,61.2735426008969,5,"growth factor"
"114","PDGFD","PDGFRA",20.8928571428571,8,32.5335195530726,1,"growth factor"
"326","TGFB1","TGFBR2",9.33870967741935,3,71.8268156424581,1,"growth factor"
"314","TGFB1","TGFBR2",6.63874345549738,4,100.304932735426,5,"growth factor"
"315","TGFB1","TGFBR2",6.63874345549738,4,100.031413612565,4,"growth factor"
"327","TGFB1","TGFBR2",6.09375,2,108.529761904762,8,"growth factor"
"329","TGFB1","TGFBR2",6.09375,2,108.26875,6,"growth factor"
"132","PDGFD","PDGFRA",8.53363228699552,5,75.5059523809524,7,"growth factor"
"127","PDGFD","PDGFRA",11.1,6,58.0104712041885,4,"growth factor"
"89","HBEGF","CD9",5.51396648044693,1,116.744047619048,8,"growth factor"
"87","HBEGF","CD9",9.13125,6,70.1302083333333,2,"growth factor"
"373","TGFB1","TGFBR3",18.4301675977654,1,34.2552083333333,2,"growth factor"
"97","PDGFA","PDGFRA",6.84375,2,91.125,8,"growth factor"
"370","TGFB1","TGFBR3",18.4301675977654,1,33.7713004484305,5,"growth factor"
"99","PDGFA","PDGFRA",6.84375,2,90.41875,6,"growth factor"
"330","TGFB1","TGFBR2",6.09375,2,100.304932735426,5,"growth factor"
"331","TGFB1","TGFBR2",6.09375,2,100.031413612565,4,"growth factor"
"150","PDGFD","PDGFRA",9.93296089385475,1,61.2735426008969,5,"growth factor"
"129","PDGFD","PDGFRA",11.1,6,54.7239583333333,2,"growth factor"
"3","EGFL8","NCR3",19.1964285714286,8,31.31875,6,"growth factor"
"86","HBEGF","CD9",9.13125,6,63.8333333333333,3,"growth factor"
"139","PDGFD","PDGFRA",6.359375,2,91.125,8,"growth factor"
